--------------------------------
Started at UT 2015y008d03h51m25s
Elapsed      Time Interval
Time / s          / s
--------------------------------
56487       8.465614137e-01
56548       8.465614082e-01
56609       8.465614102e-01
56670       8.465614087e-01
56731       8.465614072e-01
56792       8.465614117e-01
56853       8.465614052e-01
56914       8.465614062e-01
56975       8.465614082e-01
57036       8.465614122e-01
57097       8.465614092e-01
57158       8.465614112e-01
57219       8.465614097e-01
57280       8.465614102e-01
57341       8.465614082e-01
57402       8.465614107e-01
57463       8.465614097e-01
57524       8.465614067e-01
57585       8.465614077e-01
57646       8.465614077e-01
57707       8.465614057e-01
57768       8.465614097e-01
57829       8.465614052e-01
57890       8.465614057e-01
57951       8.465614147e-01
58012       8.465614147e-01
58073       8.465614097e-01
58134       8.465614112e-01
58195       8.465614127e-01
58256       8.465614192e-01
58317       8.465614082e-01
58378       8.465614137e-01
58439       8.465614102e-01
58500       8.465614117e-01
58561       8.465614092e-01
58622       8.465614127e-01
58683       8.465614092e-01
58744       8.465614052e-01
58805       8.465614152e-01
58866       8.465614107e-01
58927       8.465614107e-01
58988       8.465614107e-01
59049       8.465614067e-01
59110       8.465614082e-01
59171       8.465614047e-01
59232       8.465614022e-01
59293       8.465614047e-01
59354       8.465614087e-01
59415       8.465613987e-01
59476       8.465613972e-01
59537       8.465614032e-01
59598       8.465614032e-01
59659       8.465614022e-01
59720       8.465614062e-01
59781       8.465614032e-01
59842       8.465614017e-01
59903       8.465614042e-01
59964       8.465614057e-01
60025       8.465614027e-01
60086       8.465614042e-01
60147       8.465614047e-01
60208       8.465613997e-01
60269       8.465614087e-01
60330       8.465614002e-01
60391       8.465613987e-01
60452       8.465614052e-01
60513       8.465614037e-01
60574       8.465614002e-01
60635       8.465614072e-01
60696       8.465614012e-01
60757       8.465614017e-01
60818       8.465614027e-01
60879       8.465613962e-01
60940       8.465614022e-01
61001       8.465613987e-01
61062       8.465614087e-01
61123       8.465614072e-01
61184       8.465614012e-01
61245       8.465614042e-01
61306       8.465613987e-01
61367       8.465613942e-01
61428       8.465613957e-01
61489       8.465613942e-01
61550       8.465614017e-01
61611       8.465613987e-01
61672       8.465614057e-01
61733       8.465614092e-01
61794       8.465613977e-01
61855       8.465613977e-01
61916       8.465614032e-01
61977       8.465614007e-01
62038       8.465614022e-01
62099       8.465614032e-01
62160       8.465613942e-01
62221       8.465613962e-01
62282       8.465613982e-01
62343       8.465613982e-01
62404       8.465613932e-01
62465       8.465613897e-01
62526       8.465613912e-01
62587       8.465613952e-01
62648       8.465613997e-01
62709       8.465613997e-01
62770       8.465613997e-01
62831       8.465613972e-01
62892       8.465613987e-01
62953       8.465613967e-01
63014       8.465613947e-01
63075       8.465613957e-01
63136       8.465614007e-01
63197       8.465613992e-01
63258       8.465614002e-01
63319       8.465614002e-01
63380       8.465613967e-01
63441       8.465613942e-01
63502       8.465613952e-01
63563       8.465613977e-01
63624       8.465613977e-01
63685       8.465613932e-01
63746       8.465613927e-01
63807       8.465613892e-01
63868       8.465613872e-01
63929       8.465613852e-01
63990       8.465613862e-01
64051       8.465613877e-01
64112       8.465613892e-01
64173       8.465613882e-01
64234       8.465613882e-01
64295       8.465613897e-01
64356       8.465613932e-01
64417       8.465613837e-01
64478       8.465613917e-01
64539       8.465613977e-01
64600       8.465613987e-01
64661       8.465613937e-01
64722       8.465613912e-01
64783       8.465613917e-01
64844       8.465613872e-01
64905       8.465613902e-01
64966       8.465613847e-01
65027       8.465613882e-01
65088       8.465613887e-01
65149       8.465613882e-01
65210       8.465613887e-01
65271       8.465613862e-01
65332       8.465613827e-01
65393       8.465613867e-01
65454       8.465613862e-01
65515       8.465613887e-01
65576       8.465613837e-01
65637       8.465613847e-01
65698       8.465613822e-01
65759       8.465613867e-01
65820       8.465613792e-01
65881       8.465613757e-01
65942       8.465613752e-01
66003       8.465613807e-01
66064       8.465613817e-01
66125       8.465613802e-01
66186       8.465613812e-01
66247       8.465613892e-01
66308       8.465613862e-01
66369       8.465613817e-01
66430       8.465613862e-01
66491       8.465613737e-01
66552       8.465613837e-01
66613       8.465613817e-01
66674       8.465613832e-01
66735       8.465613837e-01
66796       8.465613847e-01
66857       8.465613812e-01
66918       8.465613842e-01
66979       8.465613787e-01
67040       8.465613772e-01
67101       8.465613822e-01
67162       8.465613777e-01
67223       8.465613777e-01
67284       8.465613817e-01
67345       8.465613782e-01
67406       8.465613802e-01
67467       8.465613777e-01
67528       8.465613747e-01
67589       8.465613752e-01
67650       8.465613737e-01
67711       8.465613812e-01
67772       8.465613807e-01
67833       8.465613812e-01
67894       8.465613742e-01
67955       8.465613877e-01
68016       8.465613752e-01
68077       8.465613722e-01
68138       8.465613677e-01
68199       8.465613772e-01
68260       8.465613727e-01
68321       8.465613722e-01
68382       8.465613742e-01
68443       8.465613847e-01
68504       8.465613807e-01
68565       8.465613747e-01
68626       8.465613792e-01
68687       8.465613682e-01
68748       8.465613702e-01
68809       8.465613702e-01
68870       8.465613752e-01
68931       8.465613737e-01
68992       8.465613737e-01
69053       8.465613762e-01
69114       8.465613717e-01
69175       8.465613722e-01
69236       8.465613712e-01
69297       8.465613757e-01
69358       8.465613692e-01
69419       8.465613697e-01
69480       8.465613682e-01
69541       8.465613672e-01
69602       8.465613667e-01
69663       8.465613722e-01
69724       8.465613712e-01
69785       8.465613717e-01
69846       8.465613757e-01
